"UserName";"EmployeeNumber";"Person_number";"Initials";"NickName";"FirstName";"NamePrefix";"LastName";"Geboortedatum";"Geslacht_code";"Burgerlijke_staat";"PartnerNamePrefix";"PartnerName";"Naamgebruik_code";"Straat";"Straat_toevoeging";"Huisnummer";"Huisnummer_toevoeging";"Postcode";"Woonplaats";"Land";"Mobiel_prive";"Mobiel_werk";"Telefoonnr_prive";"Telefoonnr_werk";"Email_prive";"Email_werk";"Geblokkeerd";"Excluded"
"LoisC";"62965";"731121643";"L.";"Lois";"Lois";"";"Chase";"9-4-1961";"V";"";"";"";"0";"2830 Amet Rd.";"";"89";"";"8040MY";"San Jose";"EN";"";"";"";"";"";"Lois.Chase@enyoi.com";"FALSE";"0"
"NathanY";"35608";"151515313";"N.";"Nathan";"Nathan";"";"Young";"17-4-1974";"M";"";"";"";"0";"6106 Neque. Avenue";"";"97";"";"3036MV";"Lakewood";"EN";"";"";"";"";"";"Nathan.Young@enyoi.com";"FALSE";"0"
"OlegF";"62687";"936393299";"O.";"Oleg";"Oleg";"de";"Foster";"7-12-1970";"M";"";"";"";"0";"4213 Phasellus St.";"";"77";"";"4519BZ";"Sterling Heights";"EN";"";"";"";"";"";"Oleg.Foster@enyoi.com";"FALSE";"0"
"OrsonR";"80925";"122797521";"O.";"Orson";"Orson";"";"Rodgers";"2-8-1985";"M";"";"";"";"0";"489-1471 Arcu St.";"";"39";"";"7855KT";"Chicago";"EN";"";"";"";"";"";"Orson.Rodgers@enyoi.com";"FALSE";"1"
"RamaM";"71451";"381759337";"R.";"Rama";"Rama";"";"Mclaughlin";"4-1-1981";"V";"";"ten";"Kate";"2";"3624 Magna. St.";"";"38";"";"9070IN";"Wyoming";"EN";"";"";"";"";"";"Rama.Mclaughlin@enyoi.com";"FALSE";"0"
"RashadW";"65820";"538469443";"R.";"Rashad";"Rashad";"";"Wong";"11-12-1988";"M";"";"";"";"0";"P.O. Box 426, 7202 Vitae, St.";"";"34";"";"8151PP";"Gaithersburg";"EN";"";"";"";"";"";"Rashad.Wong@enyoi.com";"FALSE";"0"
"RonanP";"55714";"329266528";"R.";"Ronan";"Ronan";"";"Potter";"3-12-1962";"M";"";"";"";"0";"P.O. Box 234, 4123 Curabitur St.";"";"65";"";"1635ND";"Birmingham";"EN";"";"";"";"";"";"Ronan.Potter@enyoi.com";"FALSE";"0"
"SophiaR";"65131";"718064309";"S.";"Sophia";"Sophia";"";"Reyes";"5-4-1978";"V";"";"van der";"Horen";"3";"326-9903 Risus St.";"";"34";"";"7251JD";"Kansas City";"EN";"";"";"";"";"";"Sophia.Reyes@enyoi.com";"FALSE";"0"
"SummerH";"17016";"817275018";"S.";"Summer";"Summer";"";"Heath";"23-5-1962";"V";"";"";"";"0";"5027 Lacinia Av.";"";"66";"";"2584TG";"Miami";"EN";"";"";"";"";"";"Summer.Heath@enyoi.com";"FALSE";"0"
"VladimirA";"26489";"558313202";"V.";"Vladimir";"Vladimir";"";"Alvarez";"19-12-1966";"M";"";"";"";"0";"Ap #297-6394 Pulvinar Street";"";"67";"";"1369UM";"Bangor";"EN";"";"";"";"";"";"Vladimir.Alvarez@enyoi.com";"FALSE";"0"
"WalkerC";"34975";"208950896";"W.";"Walker";"Walker";"";"Clark";"15-9-1986";"M";"";"";"";"0";"P.O. Box 907 7086 Metus. Rd.";"";"16";"";"2399RB";"Cheyenne";"EN";"";"";"";"";"";"Walker.Clark@enyoi.com";"FALSE";"0"
"XavieraF";"18574";"620544017";"X.";"Xaviera";"Xaviera";"";"Foley";"7-5-1983";"V";"";"";"McCain";"2";"P.O. Box 412 9179 Proin Av.";"";"51";"";"2923FY";"Fort Worth";"EN";"";"";"";"";"";"Xaviera.Foley@enyoi.com";"FALSE";"0"
"BurgmansT";"43589";"845936954";"T.";"Theo";"Theo";"van der";"Burgmans";"03-03-1998";"M";"";"";"";"0";"Herengracht";"";"51";"";"1005AA";"Amsterdam";"NL";"";"";"";"";"";"Theo.Burgmans@enyoi.com";"FALSE";"0"
